project,class,src,llm_directory
CoreNLP,edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,src/edu/stanford/nlp/parser/lexparser/ExhaustivePCFGParser,CoreNLP/edu/stanford/nlp/parser/lexparser/ExhaustivePCFGParser
GateCore,gate.corpora.SerialCorpusImpl,src/main/java/gate/corpora/SerialCorpusImpl,GateCore/corpora/SerialCorpusImpl
GateCore,gate.corpora.CorpusImpl,src/main/java/gate/corpora/CorpusImpl,GateCore/corpora/CorpusImpl
GateCore,gate.corpora.DocumentImpl,src/main/java/gate/corpora/DocumentImpl,GateCore/corpora/DocumentImpl
GateCore,gate.corpora.DocumentStaxUtils,src/main/java/gate/corpora/DocumentStaxUtils,GateCore/corpora/DocumentStaxUtils
GateCore,gate.annotation.AnnotationSetImpl,src/main/java/gate/annotation/AnnotationSetImpl,GateCore/annotation/AnnotationSetImpl
GateCore,gate.annotation.AnnotationImpl,src/main/java/gate/annotation/AnnotationImpl,GateCore/annotation/AnnotationImpl
GateCore,gate.creole.annic.lucene.QueryParser,src/main/java/gate/creole/annic/lucene/QueryParser,GateCore/creole/lucene/QueryParser
Mallet,cc.mallet.types.SparseVector,src/cc/mallet/types/SparseVector,Mallet/types/SparseVector
Mallet,cc.mallet.types.AugmentableFeatureVector,src/cc/mallet/types/AugmentableFeatureVector,Mallet/types/AugmentableFeatureVector
Mallet,cc.mallet.classify.NaiveBayes,src/cc/mallet/classify/AugmentableFeatureVector,Mallet/classify/AugmentableFeatureVector
Mallet,cc.mallet.classify.MaxEnt,src/cc/mallet/classify/MaxEnt,Mallet/classify/MaxEnt
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,src/cc/mallet/classify/MaxEntOptimizableByLabelLikelihood,Mallet/classify/MaxEntOptimizableByLabelLikelihood
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelDistribution,src/cc/mallet/classify/MaxEntOptimizableByLabelDistribution,Mallet/classify/MaxEntOptimizableByLabelDistribution
Mallet,cc.mallet.classify.NaiveBayesTrainer,src/cc/mallet/classify/NaiveBayesTrainer,Mallet/classify/NaiveBayesTrainer
Mallet,cc.mallet.cluster.KMeans,src/cc/mallet/cluster/KMeans,Mallet/cluster/KMeans
Mallet,cc.mallet.fst.HMM,src/cc/mallet/fst/HMM,Mallet/fst/HMM
Mallet,cc.mallet.fst.CRF,src/cc/mallet/fst/CRF,Mallet/fst/CRF
